序号,区域,项目名称,站点名称,产品型号,设备类型,设备id,最新上报时间,状态,厂商信息,站点编号,经纬度,施工队,产品内部型号,,,,,,,,,,,,,,,,,,,,,,,,,,,
,南宁市,广西二期,2022-BN4-南宁市良庆区阳光尚都平层2-2栋2单元B1524车位,ZC_Repeat_LTE01,平层,866877072647302,2025-11-11 10:03:58,333333,江苏Vendor C技术有限公司,866877072647302,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,测试项目,866877072655420,ZC_Repeat_LTE01,平层,866877072655420,2025-11-11 10:31:28,003333,江苏Vendor C技术有限公司,866877072655420,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,南宁市,广西二期,2022-BN5-南宁市广西送变电淡村宿舍江景楼B2F平层2-B栋电梯旁,ZC_Repeat_LTE01,平层,866877072625720,2025-12-09 11:15:28,000333,江苏Vendor C技术有限公司,866877072625720,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,测试项目,866877072654506,ZC_Repeat_LTE01,平层,866877072654506,2025-11-11 10:39:00,003333,江苏Vendor C技术有限公司,866877072654506,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,测试项目,866877072654548,ZC_Repeat_LTE01,平层,866877072654548,2025-12-09 11:21:02,003333,江苏Vendor C技术有限公司,866877072654548,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,南宁市,广西二期,2022-BN5-南宁市广西送变电淡村宿舍江景楼B2F平层1-B栋电梯旁,ZC_Repeat_LTE01,平层,866877072626827,2025-12-09 11:35:19,003333,江苏Vendor C技术有限公司,866877072626827,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,测试项目,866877072654704,ZC_Repeat_LTE01,平层,866877072654704,2025-11-11 10:35:02,003333,江苏Vendor C技术有限公司,866877072654704,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,测试项目,866877072659901,ZC_Repeat_LTE01,电梯,866877072659901,,222222,江苏Vendor C技术有限公司,866877072659901,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,南宁市,广西一期,2021-BN2-南宁市武鸣区富鸣阳光城A区2栋1单元电梯01,ZC_Repeat_LTE02,电梯,866877072651122,2025-12-09 11:33:23,002222222,江苏Vendor C技术有限公司,866877072651122,0.0,,V251.2.0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,测试项目,866877072626306,ZC_Repeat_LTE01,电梯,866877072626306,2025-10-20 16:30:00,003222,江苏Vendor C技术有限公司,866877072626306,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,测试项目,866877072197324,ZC_Repeat_LTE01,电梯,866877072197324,2025-10-20 16:34:19,003222,江苏Vendor C技术有限公司,866877072197324,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,测试项目,866877072622404,ZC_Repeat_LTE01,电梯,866877072622404,2025-10-20 16:24:01,003222,江苏Vendor C技术有限公司,866877072622404,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,测试项目,866877072628724,ZC_Repeat_LTE01,电梯,866877072628724,2025-10-20 11:43:21,003222,江苏Vendor C技术有限公司,866877072628724,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,测试项目,866877072626546,ZC_Repeat_LTE01,电梯,866877072626546,2025-12-08 08:53:29,003222,江苏Vendor C技术有限公司,866877072626546,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,宝鸡市,陕西二期,宝鸡市高新区高新大道富力湾小区B2F东边增补,ZC_Repeat_LTE01,平层,866877072660388,2025-12-09 11:20:35,000002,江苏Vendor C技术有限公司,866877072660388,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,南宁市,广西一期,2021-BN2-南宁市西乡塘区第一人民医院邕武院区宿舍楼1号电梯,ZC_Repeat_LTE01,电梯,866877072622941,2025-12-09 11:40:03,333222,江苏Vendor C技术有限公司,866877072622941,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,南宁市,广西一期,2021-BN1-南宁市江南区华永丰大厦电梯01,ZC_Repeat_LTE01,电梯,866877072661584,2025-12-09 11:26:19,003222,江苏Vendor C技术有限公司,866877072661584,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,南宁市,广西一期,2021-BN2-南宁市西乡塘区第一人民医院邕武院区宿舍楼3号电梯,ZC_Repeat_LTE01,电梯,866877072645447,2025-12-09 11:40:01,003222,江苏Vendor C技术有限公司,866877072645447,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,南宁市,广西一期,2021-BN2-南宁市西乡塘区第一人民医院邕武院区宿舍楼2号电梯,ZC_Repeat_LTE01,电梯,866877072660065,2025-12-09 11:40:05,003222,江苏Vendor C技术有限公司,866877072660065,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,南宁市,广西二期,2022-BN6-南宁市江南区彰泰新旺角B1F平层-B1111车位,ZC_Repeat_LTE02,平层,866877072650264,2025-12-09 11:31:27,000003222,江苏Vendor C技术有限公司,866877072650264,0.0,,ZC_MU_WSF_W22.39.1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,宝鸡市,陕西二期,宝鸡市陇县众鑫生活超市2楼,ZC_Repeat_LTE01,平层,866877072622982,2025-12-09 11:29:36,000302,江苏Vendor C技术有限公司,866877072622982,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,宝鸡市,陕西二期,宝鸡市陇县众鑫生活超市1楼,ZC_Repeat_LTE01,平层,866877072660008,2025-12-09 11:22:28,003000,江苏Vendor C技术有限公司,866877072660008,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,南宁市,广西二期,2022-BN4-南宁市江南区彰泰新旺角B2F平层03-B2286车位上,ZC_Repeat_LTE01,平层,866877072654100,2025-12-09 11:14:32,003333,江苏Vendor C技术有限公司,866877072654100,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,南宁市,广西二期,2022-BN2-南宁市青秀区海茵国际花城B1F,ZC_Repeat_LTE01,平层,866877072625001,2025-12-09 11:38:06,000333,江苏Vendor C技术有限公司,866877072625001,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,测试项目,866877072640745,ZC_Repeat_LTE01,平层,866877072640745,2025-09-28 15:40:49,003333,江苏Vendor C技术有限公司,866877072640745,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,南宁市,广西二期,2022-BN4-南宁市良庆区阳光尚都平层1-11栋,ZC_Repeat_LTE01,平层,866877072654068,2025-12-09 11:12:08,003333,江苏Vendor C技术有限公司,866877072654068,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,南宁市,广西二期,"	 2022-BN4-南宁市东葛路97号飞浪网吧平层-5人房旁",ZC_Repeat_LTE01,平层,866877072651528,2025-12-09 11:39:04,003300,江苏Vendor C技术有限公司,866877072651528,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,南宁市,广西二期,2022-BN5-南宁市西乡塘区江湾尊府2号楼A单元B1F平层2-A019车位,ZC_Repeat_LTE01,平层,866877072659562,2025-11-24 08:55:37,333333,江苏Vendor C技术有限公司,866877072659562,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,南宁市,广西二期,2022-BN4-南宁市江南区彰泰新旺角B1F平层02--B1050车位后,ZC_Repeat_LTE01,平层,866877072640224,2025-12-09 11:28:22,003333,江苏Vendor C技术有限公司,866877072640224,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,南宁市,广西二期,2022-BN3-南宁市青秀区保利天悦台3栋配电房,ZC_Repeat_LTE01,平层,866877072660446,2025-12-02 01:03:52,333222,江苏Vendor C技术有限公司,866877072660446,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,南宁市,广西二期,2022-BN1-南宁市西乡塘区美的旭辉城负一层B区平层02,ZC_Repeat_LTE01,平层,866877072625944,2025-12-09 11:14:39,003330,江苏Vendor C技术有限公司,866877072625944,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,库存,广西二期,2022-BN4-南宁市良庆区阳光尚都平层2-2栋2单元B1524车位,ZC_Repeat_LTE01,平层,866877072660420,2025-12-09 11:32:37,000033,江苏Vendor C技术有限公司,866877072660420,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,南宁市,广西二期,2022-BN4-南宁市江南区彰泰新旺角B1F市场-零食区上方桥架,ZC_Repeat_LTE01,平层,866877072656725,2025-09-28 15:46:35,333333,江苏Vendor C技术有限公司,866877072656725,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,南宁市,广西二期,2022-BN5-南宁市广西送变电淡村宿舍江景楼B1F平层1-B栋一楼电梯旁,ZC_Repeat_LTE01,平层,866877072621984,2025-12-09 11:19:17,003330,江苏Vendor C技术有限公司,866877072621984,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,测试项目,866877072652807,ZC_Repeat_LTE01,电梯,866877072652807,2025-09-28 15:24:27,003222,江苏Vendor C技术有限公司,866877072652807,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,南宁市,广西二期,2022-BN4-南宁市江南区彰泰新旺角B2F平层02-B2266车位上,ZC_Repeat_LTE01,平层,866877072622883,2025-12-09 11:11:55,003330,江苏Vendor C技术有限公司,866877072622883,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,南宁市,广西一期,2021-BN1-南宁市江南区公园大地B区14栋2单元地下室,ZC_Repeat_LTE01,平层,866877072656287,2025-12-09 11:29:09,003300,江苏Vendor C技术有限公司,866877072656287,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,南宁市,广西二期,2022-BN1-南宁市西乡塘区海普四季绿城16栋电梯02,ZC_Repeat_LTE01,电梯,866877072655644,2025-12-09 11:15:35,003222,江苏Vendor C技术有限公司,866877072655644,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,库存,广西二期,2022-BN4-南宁市江南区彰泰新旺角B2F平层03-B2286车位上,ZC_Repeat_LTE01,平层,866877072652849,2025-11-27 09:52:50,333333,江苏Vendor C技术有限公司,866877072652849,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,南宁市,广西二期,2022-BN4-南宁市佳之迪平层-二楼售楼部,ZC_Repeat_LTE01,平层,866877072651460,2025-12-09 11:17:09,003333,江苏Vendor C技术有限公司,866877072651460,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,南宁市,广西二期,2022-BN5-南宁市良庆区万科星都荟18栋电梯01,ZC_Repeat_LTE02,电梯,866877072645280,2025-12-09 11:34:27,002222222,江苏Vendor C技术有限公司,866877072645280,0.0,,V251.1.0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,南宁市,广西二期,2022-BN4-南宁市绿港双创城1栋B座电梯06,ZC_Repeat_LTE02,电梯,866877072645207,2025-12-09 11:31:23,002222222,江苏Vendor C技术有限公司,866877072645207,0.0,,V251.1.0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,南宁市,广西二期,2022-BN6-南宁市邕宁区柏翠湾2栋1号电梯,ZC_Repeat_LTE02,电梯,866877072656063,2025-12-09 11:33:54,002222222,江苏Vendor C技术有限公司,866877072656063,0.0,,V251.2.0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,宝鸡市,,宝鸡市渭滨区桥南街道澜湖湾4号楼电梯,ZC_Repeat03,电梯,866094052434269,2025-12-08 23:46:36,020222,江苏Vendor C技术有限公司,866094052434269 ,150.99008,,03.01.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
,宝鸡市,陕西一期,陕西省宝鸡市渭滨区桥南街道澜湖湾4号楼,ZC_Repeat_LTE01,电梯,866207075001598,,222222,江苏Vendor C技术有限公司,866207075001598,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,梧州市,广西一期,2021-BN1-梧州市碧水广场电梯01,ZC_Repeat_LTE01,电梯,866877072660081,2025-12-09 11:16:03,333222,江苏Vendor C技术有限公司,866877072660081,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,柳州市,广西二期,2022-BN3-柳州市城中区马鹿山农贸批发市场地下车库平层03-车库东出入库桥架,ZC_Repeat_LTE01,平层,866877072659968,2025-12-09 11:31:33,003000,江苏Vendor C技术有限公司,866877072659968,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,崇左市,广西一期,2021-BN1-崇左市花山温泉酒店电梯02,ZC_Repeat_LTE01,电梯,866877072655248,2025-12-09 11:18:16,003222,中邮建技术有限公司,866877072655248,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,咸阳市,陕西一期,咸阳市福林海棠B1F世纪金花01,ZC_Repeat_LTE01,平层,866877072623147,2025-12-09 11:37:49,000033,江苏Vendor C技术有限公司,866877072623147,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,西安市,陕西一期,西安市（东区）碑林桥梓口十字含光路口-路灯管理（第二批）,ZC_Repeat_LTE01,平层,866877072655305,2025-12-09 11:31:28,000022,江苏Vendor C技术有限公司,866877072655305,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,西安市,陕西一期,西安（南区）中央文化商务区管理办公室2/3楼-第三批,ZC_Repeat_LTE01,平层,866877072651361,2025-12-09 11:15:56,003300,盛世复兴技术(北京)有限公司,866877072651361,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,南宁市,测试项目,866877072630324,ZC_Repeat_LTE01,平层,866877072630324,2025-09-15 11:54:54,333333,江苏Vendor C技术有限公司,866877072630324,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,南宁市,广西二期,2022-BN7-南宁市江南区银光御品7栋水泵房,ZC_Repeat_LTE02,电梯,866877072654746,2025-12-09 11:31:30,022222222,江苏Vendor C技术有限公司,866877072654746,0.0,,V251.2.0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,库存,广西二期,2022-BN6-南宁市江南区建发央玺25栋1单元电梯01,ZC_Repeat_LTE02,电梯,866877072650686,2025-11-18 13:31:16,332222222,江苏Vendor C技术有限公司,866877072650686,0.0,,V251.2.0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,南宁市,广西二期,2022-BN2-南宁市北投时代1栋2单元电梯02,ZC_Repeat_LTE02,电梯,866207075362818,2025-12-09 11:32:49,002222222,江苏Vendor C技术有限公司,866207075362818,0.0,,V251.1.0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,库存,,866094051521875,ZC_Repeat03,平层,866094051521875,2025-09-05 16:14:10,222222,江苏Vendor C技术有限公司,866094051521875,150.99008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,柳州市,,2022-BN2-柳州市城中区碧桂园十里江湾三期地下车库平层2-车位0155后方墙上,ZC_Repeat03,平层,866094051521876,2025-12-08 23:43:05,003300,江苏Vendor C技术有限公司,866094051521876,150.99008,,03.01.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
,柳州市,,2022-BN3-柳州市柳北区海迅物流园博皇家居地下车库平层03-17-6#电梯厅门口上方,ZC_Repeat03,平层,866094052771694,2025-12-08 23:42:20,000000,江苏Vendor C技术有限公司,866094052771694,150.99008,,03.01.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
,柳州市,广西二期,2022-BN2-柳州市城中区碧桂园十里江湾三期59栋电梯03-负一层电梯门口吊顶,ZC_Repeat_LTE02,电梯,866877072660545,2025-12-09 11:31:25,002222222,江苏Vendor C技术有限公司,866877072660545,0.0,,V251.2.0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,柳州市,广西二期,2022-BN2-柳州市城中区碧桂园十里江湾三期59栋电梯02-负一层电梯门口吊顶,ZC_Repeat_LTE02,电梯,866877072650561,2025-12-09 11:30:03,002222222,江苏Vendor C技术有限公司,866877072650561,0.0,,V251.2.0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,柳州市,广西二期,2022-BN2-柳州市城中区碧桂园十里江湾三期59栋电梯01-负一层电梯门口吊顶,ZC_Repeat_LTE02,电梯,866877072630902,2025-12-09 11:30:04,002222222,江苏Vendor C技术有限公司,866877072630902,0.0,,V251.2.0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,柳州市,广西二期,2022-BN2-柳州市城中区碧桂园十里江湾三期58栋电梯01,ZC_Repeat_LTE02,电梯,866877072653284,2025-12-09 11:30:04,002222222,江苏Vendor C技术有限公司,866877072653284,0.0,,V251.2.0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,南宁市,,2022-BN2-南宁市青秀区保利禧悦都15栋,ZC_Repeat03,电梯,866094052865025,2025-12-08 22:07:46,020222,江苏Vendor C技术有限公司,866094052865025,150.99008,,03.01.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
,柳州市,广西二期,2022-BN3-柳州市鱼峰区政务服务中心5楼平层-电井门口吊顶内,ZC_Repeat_LTE01,平层,866877072626629,2025-09-17 10:34:06,333333,江苏Vendor C技术有限公司,866877072626629,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,测试项目,866877072640620,ZC_Repeat_LTE01,平层,866877072640620,2025-08-29 10:51:14,003333,江苏Vendor C技术有限公司,866877072640620,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
,南宁市,广西二期,2022-BN1-南宁市西乡塘区锦鸿纺织厂3号厂房细纱车间南侧,ZC_Repeat_LTE01,平层,866877072623006,2025-12-09 11:20:09,000330,江苏Vendor C技术有限公司,866877072623006,0.0,,08.00.01,,,,,,,,,,,,,,,,,,,,,,,,,,,
